,DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
48,med4-no-fs-[0:3]-[1:4],48,0.4,,0.0,,5000,5,50,200,0.5769718776255084,2.219438271775381
49,med4-no-fs-[0:3]-[1:4],49,0.4,,0.0,,5000,5,20,500,0.5930193098806235,5.422644310563171
50,med4-no-fs-[0:3]-[1:4],50,0.4,,0.0,,5000,5,20,500,0.8463219771043204,5.871672535189564
51,med4-no-fs-[0:3]-[1:4],51,0.4,,0.0,,5000,5,50,100,0.5039771895780394,2.043164795777411
52,med4-no-fs-[0:3]-[1:4],52,0.4,,0.0,,5000,5,50,500,0.5312154906403002,5.201276304059078
53,med4-no-fs-[0:3]-[1:4],53,0.4,,0.0,,5000,5,50,50,0.5213830108362665,3.4522907480725764
54,med4-no-fs-[0:3]-[1:4],54,0.4,,0.0,,5000,5,50,500,0.4365663425741879,4.69838774243836
55,med4-no-fs-[0:3]-[1:4],55,0.4,,0.0,,5000,5,20,500,0.6539393380229346,5.484124204968456
56,med4-no-fs-[0:3]-[1:4],56,0.4,,0.0,,5000,5,50,100,0.5957355410903595,2.288481623786742
57,med4-no-fs-[0:3]-[1:4],57,0.4,,0.0,,5000,5,50,500,0.714644378330156,4.75246343016302
58,med4-no-fs-[0:3]-[1:4],58,0.4,,0.0,,5000,5,50,1000,0.481617362717925,9.935474844062588
59,med4-no-fs-[0:3]-[1:4],59,0.4,,0.0,,5000,5,50,500,0.4374007708236633,4.945197230424213
60,med4-no-fs-[0:3]-[1:4],60,0.4,,0.0,,5000,5,20,50,0.6053770043034228,6.626441874241159
61,med4-no-fs-[0:3]-[1:4],61,0.4,,0.0,,5000,5,50,1000,0.5078969162758996,9.400670684911235
62,med4-no-fs-[0:3]-[1:4],62,0.4,,0.0,,5000,5,20,200,0.6378356369861076,3.31629842740307
63,med4-no-fs-[0:3]-[1:4],63,0.4,,0.0,,5000,5,20,200,0.6218686580564617,2.52937697420758
64,med4-no-fs-[0:3]-[1:4],64,0.4,,0.0,,5000,5,20,200,0.5407154752980348,3.5510327436433915
65,med4-no-fs-[0:3]-[1:4],65,0.4,,0.0,,5000,5,20,500,0.6567711358041864,4.442967983360199
66,med4-no-fs-[0:3]-[1:4],66,0.4,,0.0,,5000,5,20,500,0.6759910408766348,4.843460217789041
67,med4-no-fs-[0:3]-[1:4],67,0.4,,0.0,,5000,5,50,500,0.5274251564363609,5.239332758479084
68,med4-no-fs-[0:3]-[1:4],68,0.4,,0.0,,5000,5,50,500,0.5019901353961516,5.265944188566682
69,med4-no-fs-[0:3]-[1:4],69,0.4,,0.0,,5000,5,50,500,0.5806942073508436,5.0673592271434575
70,med4-no-fs-[0:3]-[1:4],70,0.4,,0.0,,5000,5,20,100,0.5826644527387997,3.832368245154639
71,med4-no-fs-[0:3]-[1:4],71,0.4,,0.0,,5000,5,20,500,0.6515301472526922,5.677220486539678
72,med4-no-fs-[0:3]-[1:4],72,0.4,,0.0,,5000,5,50,500,0.5255596816648461,5.407316096814853
73,med4-no-fs-[0:3]-[1:4],73,0.4,,0.0,,5000,5,50,500,0.597325093215326,5.456017673370748
74,med4-no-fs-[0:3]-[1:4],74,0.4,,0.0,,5000,5,20,200,0.9195149871819588,2.7281362065162886
75,med4-no-fs-[0:3]-[1:4],75,0.4,,0.0,,5000,5,20,500,0.7102343973822566,4.528625829632152
76,med4-no-fs-[0:3]-[1:4],76,0.4,,0.0,,5000,5,50,500,0.4310071080174192,4.420379544153566
77,med4-no-fs-[0:3]-[1:4],77,0.4,,0.0,,5000,5,50,500,0.702524209791828,4.851371696888296
78,med4-no-fs-[0:3]-[1:4],78,0.4,,0.0,,5000,5,50,500,0.5932879659903596,4.756732553330739
79,med4-no-fs-[0:3]-[1:4],79,0.4,,0.0,,5000,5,20,200,0.6220292746518871,2.1793961606661347
